route,sourcePath,sourceType,pageType,status,titleLength,metaDescriptionLength,h1Count,h1MatchesTitle,totalHeadingCount,skippedHeadingLevels,unrelatedH2Count,wordCount,firstParagraphWordCount,hasTikTokInFirstParagraph,primaryKeyword,primaryKeywordInFirst150Words,internalLinks,externalLinks,hasFAQ,hasSchema,schemaTypes,hasBreadcrumbs,hasCalculatorCTA,criticalIssueCount,warningIssueCount,criticalIssues,warningIssues
/about/,src/app/about/page.tsx,app-page,trust-page,warning,54,146,1,true,8,false,7,781,67,false,creator calculator,true,8,0,false,true,ContactPoint|Organization,false,true,0,4,,Title does not front-load primary keyword | Meta description does not include primary keyword | No breadcrumbs detected | Potentially unrelated H2 headings (7)
/advanced/creator-tax-deductions/,src/app/advanced/creator-tax-deductions/page.tsx,app-page,other,warning,54,142,1,true,28,false,3,1201,9,true,creator tax deductions,true,4,0,true,true,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,true,true,0,1,,Potentially unrelated H2 headings (3)
/advanced/creator-tax-deductions-guide/,content/advanced/creator-tax-deductions-guide.md,mdx,other,warning,56,148,1,true,67,true,7,1286,11,true,creator tax deductions,true,7,0,true,true,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,true,true,0,2,,Heading hierarchy levels are skipped | Potentially unrelated H2 headings (7)
/benchmarks/,src/app/benchmarks/page.tsx,app-page,data,warning,51,137,1,true,4,false,1,452,29,true,creator calculator,false,16,0,false,false,,false,true,0,7,,Title does not front-load primary keyword | Meta description does not include primary keyword | Word count below 500 | No schema markup detected | No breadcrumbs detected | Potentially unrelated H2 headings (1) | Primary keyword missing in first 150 words
/blog/best-tiktok-niches-money-2026/,content/blog/best-tiktok-niches-money-2026.mdx,mdx,blog,warning,55,146,1,true,12,false,2,1886,18,true,best tiktok niches 2026,true,29,0,false,true,Article|BreadcrumbList|ImageObject|ListItem|Organization,true,true,0,1,,Potentially unrelated H2 headings (2)
/blog/brand-deal-rate-negotiation-tips/,content/blog/brand-deal-rate-negotiation-tips.mdx,mdx,blog,warning,54,152,1,true,29,true,0,1794,30,true,brand deal negotiation,false,39,0,false,true,Article|BreadcrumbList|ImageObject|ListItem|Organization,true,true,0,2,,Heading hierarchy levels are skipped | Primary keyword missing in first 150 words
/blog/building-multiple-income-streams-tiktok/,content/blog/building-multiple-income-streams-tiktok.mdx,mdx,blog,warning,58,146,1,true,29,true,2,1615,25,true,tiktok income streams,false,37,0,false,true,Article|BreadcrumbList|ImageObject|ListItem|Organization,true,true,0,4,,Title does not front-load primary keyword | Heading hierarchy levels are skipped | Potentially unrelated H2 headings (2) | Primary keyword missing in first 150 words
/blog/charli-damelio-tiktok-earnings/,content/blog/charli-damelio-tiktok-earnings.mdx,mdx,blog,warning,52,131,1,true,14,false,1,1635,19,true,charli damelio earnings,true,29,0,false,true,Article|BreadcrumbList|ImageObject|ListItem|Organization,true,true,0,1,,Potentially unrelated H2 headings (1)
/blog/creator-fund-shutdown-implications/,content/blog/creator-fund-shutdown-implications.mdx,mdx,blog,warning,57,150,1,true,19,false,1,1861,21,true,tiktok creator fund ending,true,43,0,true,true,Article|BreadcrumbList|ImageObject|ListItem|Organization,true,true,0,1,,Potentially unrelated H2 headings (1)
/blog/creator-fund-vs-live-gifts/,content/blog/creator-fund-vs-live-gifts.mdx,mdx,blog,warning,49,154,1,true,34,false,3,845,24,true,creator fund vs live gifts,true,42,0,false,true,Article|BreadcrumbList|ImageObject|ListItem|Organization,true,true,0,1,,Potentially unrelated H2 headings (3)
