route,pageType,entity,prciScore,retrievalCostLevel,recommendedAction,borderStatus,wordCount,crawlDepth,inboundLinks,m1,m2,m3,m4,m5,m6,m7,noindex,schemaTypes,thinRisk,contentStatus,isOrphan,missingBreadcrumb,missingRelated,issues
/authors/david-kim/,author,authors david kim,44.04,High Retrieval Cost,Major rewrite across modules,outer,143,3,14,3,1.43,7.67,8.33,5,0.34,6,true,Person|Organization|BreadcrumbList|ListItem,,,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculator/pt-br/,other,Calculadora do TikTok: Calcule Seus Ganhos de Criador,44.29,High Retrieval Cost,Major rewrite across modules,outer,1912,3,7,1,1.43,7,10,7,3.68,3.5,true,WebApplication|Offer|Language|Organization|WebPage|WebSite|Thing|FinancialProduct|FAQPage|Question|Answer|BreadcrumbList|ListItem|HowTo|HowToStep|HowToTool|Article|ImageObject,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/calculator/fr/,other,Calculatrice TikTok: Calculez vos Revenus de Créateur,46.16,High Retrieval Cost,Major rewrite across modules,outer,2033,3,7,1,1.43,7,10,7,3.68,4.75,true,WebApplication|Offer|Language|Organization|WebPage|WebSite|Thing|FinancialProduct|FAQPage|Question|Answer|BreadcrumbList|ListItem|HowTo|HowToStep|HowToTool|Article|ImageObject,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/calculator/it/,other,Calcolatore TikTok: Calcola i Tuoi Guadagni da Creator,46.16,High Retrieval Cost,Major rewrite across modules,outer,1471,3,7,1,1.43,7,10,7,3.68,4.75,true,WebApplication|Offer|Language|Organization|WebPage|WebSite|Thing|FinancialProduct|FAQPage|Question|Answer|BreadcrumbList|ListItem|HowTo|HowToStep|HowToTool|Article|ImageObject,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/calculator/my/,other,Kalkulator TikTok: Kira Pendapatan Pencipta Anda,46.16,High Retrieval Cost,Major rewrite across modules,outer,1412,3,7,1,1.43,7,10,7,3.68,4.75,true,WebApplication|Offer|Language|Organization|WebPage|WebSite|Thing|FinancialProduct|FAQPage|Question|Answer|BreadcrumbList|ListItem|HowTo|HowToStep|HowToTool|Article|ImageObject,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/calculator/es/,other,Calculadora de TikTok: Calcula tus Ganancias de Creator,47.15,High Retrieval Cost,Major rewrite across modules,outer,2123,3,7,1,2.86,7,10,7,3.68,3.5,true,WebApplication|Offer|Language|Organization|WebPage|WebSite|Thing|FinancialProduct|FAQPage|Question|Answer|BreadcrumbList|ListItem|HowTo|HowToStep|HowToTool|Article|ImageObject,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/bookmarks/,utility,bookmarks,47.77,High Retrieval Cost,Major rewrite across modules,inside,343,2,3,1,5.71,6.67,5,5,0.34,8,true,,medium,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/guides/business/,guide,guides business,47.81,High Retrieval Cost,Major rewrite across modules,inside,386,3,15,1,2.86,7.67,8.33,10,2.01,2.5,false,CollectionPage|Thing|Organization|ImageObject|ItemList|ListItem|Article|BreadcrumbList,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/news/tiktok-shop-europe-expansion/,blog,news tiktok shop europe,48.05,High Retrieval Cost,Major rewrite across modules,inside,1164,2,7,1,4.29,7.67,10,5,0.34,5.75,false,NewsArticle|Organization|ImageObject|BreadcrumbList|ListItem,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/sources-policy/,trust,sources policy,48.05,High Retrieval Cost,Major rewrite across modules,outer,406,2,5,1,4.29,7.67,8.33,5,2.01,5.75,false,WebPage|Organization,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/news/tiktok-ban-delayed-december-2025/,blog,news tiktok ban delayed,48.22,High Retrieval Cost,Major rewrite across modules,inside,1334,2,4,1,4.29,6.67,10,5,2.01,5.75,false,NewsArticle|Organization|ImageObject|BreadcrumbList|ListItem,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/data/reference/,data,data reference,48.54,High Retrieval Cost,Major rewrite across modules,inside,337,3,3,1,4.29,6,8.33,7,2.01,5.75,false,CollectionPage|Thing|Organization|ImageObject|ItemList|ListItem|Dataset|BreadcrumbList,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/authors/emily-thompson/,author,authors emily thompson,48.89,High Retrieval Cost,Major rewrite across modules,outer,138,3,5,3,2.86,7,8.33,5,0.34,8,true,Person|Organization|BreadcrumbList|ListItem,,,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/data/engagement/tiktok-save-rate-benchmarks/,data,TikTok Engagement Rate,49.34,High Retrieval Cost,Major rewrite across modules,inside,1823,2,10,1,1.25,8.33,6.67,5,3.68,10,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/save-rate/,calculator,TikTok Engagement Rate,49.81,High Retrieval Cost,Major rewrite across modules,inside,1466,2,7,1,1.25,7.67,10,5,3.68,8.75,false,WebApplication|Offer|Organization|FAQPage|Question|Answer|BreadcrumbList|ListItem|Person,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/authors/michael-chen/,author,authors michael chen,50,High Retrieval Cost,Major rewrite across modules,outer,229,2,20,3,4.29,9.33,8.33,5,0.34,4.5,true,Person|Organization|BreadcrumbList|ListItem,,,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/tools/,calculator,Tools,50,High Retrieval Cost,Major rewrite across modules,inside,486,2,3,1,7.14,6.67,8.33,5,2.01,4.25,true,CollectionPage|Thing|Organization|ImageObject|ItemList|ListItem|SoftwareApplication|Offer|BreadcrumbList,medium,warning,false,false,false,Low triple density | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/data/engagement/completion-rate-by-video-length/,data,TikTok Engagement Rate,50.84,High Retrieval Cost,Major rewrite across modules,inside,1757,2,13,3,1.25,8.33,6.67,5,3.68,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculator/de/,other,TikTok Rechner: Einnahmen & Verdienstmöglichkeiten berechnen,50.9,High Retrieval Cost,Major rewrite across modules,outer,1643,3,7,1,2.86,7,10,7,3.68,6,true,WebApplication|Offer|Language|Organization|WebPage|WebSite|Thing|FinancialProduct|FAQPage|Question|Answer|BreadcrumbList|ListItem|HowTo|HowToStep|HowToTool|Article|ImageObject,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak
/guides/niches/,guide,guides niches,51.19,High Retrieval Cost,Major rewrite across modules,inside,374,3,19,1,2.86,7.67,8.33,10,2.01,4.75,false,CollectionPage|Thing|Organization|ImageObject|ItemList|ListItem|Article|BreadcrumbList,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak | Low information responsiveness
/calculators/engagement-rate/engagement-rate-vs-views/,calculator,TikTok Engagement Rate,51.68,High Retrieval Cost,Major rewrite across modules,inside,1852,2,3,3,3.75,6.67,6.67,5,2.01,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/engagement-influence/influencer-pricing/,calculator,TikTok Engagement Rate,51.8,High Retrieval Cost,Major rewrite across modules,inside,2842,1,15,1,3.75,9,5,5,3.68,8.75,false,FAQPage|Question|Answer|Person|Organization,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/data/engagement/tiktok-share-rate-benchmarks/,data,TikTok Engagement Rate,52.35,High Retrieval Cost,Major rewrite across modules,inside,1890,2,5,1,2.5,7.67,6.67,7,3.68,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak
/news/us-china-deal-tiktok-operational/,blog,news china deal tiktok,52.72,High Retrieval Cost,Major rewrite across modules,inside,993,2,4,1,4.29,6.67,10,5,2.01,8.75,false,NewsArticle|Organization|ImageObject|BreadcrumbList|ListItem,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/data/engagement/,data,TikTok Engagement Rate,52.84,High Retrieval Cost,Major rewrite across modules,inside,419,3,10,1,1.25,7.67,8.33,10,2.01,8,false,CollectionPage|Thing|Organization|ImageObject|ItemList|ListItem|Dataset|BreadcrumbList,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak
/calculators/engagement-rate/increase-engagement-rate/,calculator,TikTok Engagement Rate,53.34,High Retrieval Cost,Major rewrite across modules,inside,1934,2,12,3,2.5,8.33,6.67,5,3.68,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/utility-tools/eligibility/,calculator,utility eligibility,53.37,High Retrieval Cost,Major rewrite across modules,inside,2412,2,6,1,7.14,7.67,8.33,5,2.01,5.5,false,WebApplication|Offer|Organization|FAQPage|Question|Answer|BreadcrumbList|ListItem|Person,low,warning,false,false,false,Low triple density | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/methodology/,other,methodology,53.75,High Retrieval Cost,Major rewrite across modules,inside,464,1,19,1,7.14,9,5,5,0.34,7.75,false,,low,warning,false,false,false,Low triple density | Contextual coverage weak | Contextual flow weak
/,other,TikTok Engagement Rate,53.83,High Retrieval Cost,Major rewrite across modules,inside,786,0,415,3,2.5,10,8.33,5,0,9,false,Organization|ContactPoint|WebSite|SearchAction|EntryPoint|FAQPage|Question|Answer|BreadcrumbList|ListItem|ItemList|WebApplication|Offer|CollectionPage|Thing,,,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/search/,utility,search,54.05,High Retrieval Cost,Major rewrite across modules,inside,335,1,415,3,5.71,10,5,5,2.01,5.75,true,,medium,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak | Low information responsiveness
/data/engagement/micro-vs-macro-engagement-rate/,data,TikTok Engagement Rate,54.18,High Retrieval Cost,Major rewrite across modules,inside,1920,2,5,1,5,7.67,6.67,5,2.01,10,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/faq/,other,faq,54.23,High Retrieval Cost,Major rewrite across modules,inside,969,1,415,1,5.71,10,6.67,5,2.01,6.75,false,FAQPage|Question|Answer,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/brand-deal-rate/brand-deal-red-flags/,calculator,brand deal rate brand,54.27,High Retrieval Cost,Major rewrite across modules,inside,2124,2,3,1,5.71,6.67,6.67,5,3.68,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/data/engagement/avg-engagement-rate-follower-count-2026/,data,TikTok Engagement Rate,54.34,High Retrieval Cost,Major rewrite across modules,inside,2013,2,17,1,3.75,8.33,6.67,5,3.68,10,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/guides/multi-platform-strategy/,guide,guides multi platform strategy,54.39,High Retrieval Cost,Major rewrite across modules,inside,1116,2,7,1,4.29,7.67,10,5,3.68,7.75,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/engagement-rate/engagement-rate-brand-deals/,calculator,TikTok Engagement Rate,54.85,High Retrieval Cost,Major rewrite across modules,inside,1822,2,6,3,3.75,7.67,6.67,5,3.68,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/engagement-rate/engagement-rate-by-niche/,calculator,TikTok Engagement Rate,55.34,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,2170,2,13,1,5,8.33,6.67,5,3.68,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/metrics/,other,metrics,55.54,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,866,3,3,1,7.14,6,8.33,5,3.68,7.5,false,ItemList|ListItem|WebApplication|Offer|CollectionPage|Thing|FAQPage|Question|Answer|BreadcrumbList,,warning,false,false,false,Low triple density | Contextual coverage weak | Contextual flow weak
/news/parent-safety-features-update/,blog,news parent safety features,55.56,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,1080,2,3,3,5.71,6.67,10,5,2.01,6.75,false,NewsArticle|Organization|ImageObject|BreadcrumbList|ListItem,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/guides/live-gift-earnings-optimization/,guide,guides live gift earnings,55.59,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,1781,2,12,1,4.29,8.33,10,5,2.01,9,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/calculators/comment-rate/,calculator,TikTok Engagement Rate,55.68,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,1552,2,6,1,2.5,7.67,10,7,3.68,9,false,WebApplication|Offer|Organization|FAQPage|Question|Answer|BreadcrumbList|ListItem|Person,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual flow weak
/guides/complete-tiktok-calculator-guide/,guide,guides complete tiktok,55.73,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,715,2,2,1,5.71,6.67,10,5,3.68,7.75,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/guides/finance-creators-earnings/,guide,guides finance creators earnings,55.73,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,472,2,4,1,5.71,6.67,10,5,3.68,7.75,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,medium,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/guides/why-tiktok-earnings-low/,guide,guides tiktok earnings low,55.73,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,1283,2,4,1,5.71,6.67,10,5,3.68,7.75,false,Article|Person|Organization|ImageObject|BreadcrumbList|ListItem,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/reference/live-gifts-value-chart/,other,reference live gifts value,55.73,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,1245,2,3,1,5.71,6.67,10,5,3.68,7.75,false,WebPage|Organization|ImageObject|BreadcrumbList|ListItem|Table|Thing,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/region/,hub,region,55.73,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,1847,2,8,1,5.71,7.67,10,5,3.68,6.75,false,Article|Organization|ImageObject|FAQPage|Question|Answer|Person,,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/about/,trust,About CalculateCreator,55.88,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,outer,795,1,415,1,5.71,10,8.33,5,2.01,6.75,false,Organization|ContactPoint,low,warning,false,false,false,Low triple density | Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/authors/jessica-rodriguez/,author,authors jessica rodriguez,56,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,outer,124,2,13,5.5,4.29,8.33,8.33,5,0.34,7,true,Person|Organization|BreadcrumbList|ListItem,,,false,false,false,Weak attribute coverage | Contextual coverage weak | Contextual flow weak
/tools/rpm/,calculator,TikTok RPM,56.17,Medium Retrieval Cost,Priority rewrite: triple density + responsiveness,inside,500,2,2,1,10,3.33,8.33,5,0.34,9,true,WebApplication|Offer|Organization|FAQPage|Question|Answer,low,warning,false,false,false,Low triple density | Crawl architecture weakness | Contextual coverage weak | Contextual flow weak
